Product,Dosage,Price,Indications,Efficiency,Type,Purpose,Purpose2,Timing,Application
EMERALD (Tetraconazole 12.5%),0.2–0.3 L/Ha,$50/L,Apply preventively or at first signs of disease; avoid application during heavy rain.,Lasts 14–21 days; highly effective against early-stage fungal infections.,Fungicides,Control of Powdery Mildew (Oidium),,,
VIVANDO (Metrafenone 50%),0.2–0.25 L/Ha,$60/L,Apply during dry conditions; avoid application in high humidity or if rain is expected within 6 hrs.,"Lasts up to 14 days; effective in dry weather, but diminished efficiency in humid conditions.",Fungicides,Control of Powdery Mildew (Oidium),,,
TALENDO (Proquinazid 20%),0.2 L/Ha,$55/L,Apply preventively before disease symptoms; avoid rain immediately after application.,Offers 10–14 days of protection; strong preventative action against fungal spores.,Fungicides,Control of Powdery Mildew (Oidium),,,
BAYFIDAN 25 EC (Triadimenol 25%),0.2–0.3 L/Ha,$45/L,Best applied when dry weather is forecast; avoid rain within 2–3 hours post-application.,Effect lasts 10–14 days; highly efficient if no rain occurs soon after application.,Fungicides,Control of Powdery Mildew (Oidium),,,
ARIUS (Quinoxyfen 25%),0.2–0.3 L/Ha,$48/L,Apply during dry weather; reapply if heavy rain occurs shortly after treatment.,Provides up to 14 days of protection; needs reapplication if heavy rain follows treatment.,Fungicides,Control of Powdery Mildew (Oidium),,,
KARATHANE STAR (Meptyldinocap 35%),0.4 L/Ha,$40/L,Apply in early morning or late evening during dry weather; avoid strong winds and rain.,Lasts around 7–10 days; effective in early applications with lower efficacy if weather is unstable.,Fungicides,Control of Powdery Mildew (Oidium),,,
CENTINELA 10 EC (Penconazole 10%),0.1–0.15 L/Ha,$35/L,"Use during dry conditions, ideally early morning or late afternoon; avoid rainfall within 4 hrs.",Protects for 10–14 days; moderate efficiency in high humidity.,Fungicides,Control of Powdery Mildew (Oidium),,,
AZUFRE MOLIDO P-100/100 (Sulfur 98.5%) - Dusting,10–15 kg/Ha,$10/kg,"Apply during warm, dry weather; do not apply if rain is forecast within 24 hours.","Lasts up to 7 days; efficiency is weather-dependent, reduced in humid or rainy conditions.",Sulfur Products,Control of Powdery Mildew (Oidium),General Fungicide/Bactericide,,
AZUFRE MOLIDO P-100/100 (Sulfur 98.5%) - Spraying,3–6 kg/Ha,$12/kg,"Apply during warm, sunny conditions; avoid if rain is expected within 12 hours.","Provides 7–10 days of protection; moderately efficient, especially in sunny conditions.",Sulfur Products,Control of Powdery Mildew (Oidium),General Fungicide/Bactericide,,
HELIOSUFRE (Sulfur 72% SC),4–8 L/Ha,$15/L,"Apply during sunny, dry conditions; avoid application if rain is likely within 12 hours.","Lasts 7–10 days; efficient if applied under sunny, dry weather conditions.",Sulfur Products,Control of Powdery Mildew (Oidium),General Fungicide/Bactericide,,
